"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","70052","Upload Excel and verify updated employee data in UI","chromium","Fri May 16 17:56:47 IST 2025","failed","Fri May 16 17:57:57 IST 2025","Employee Excel Upload","employee_upload.test.ts","",""
"","9871","login should be successfull","chromium","Fri May 16 17:56:46 IST 2025","failed","Fri May 16 17:56:56 IST 2025","","login.test.ts","",""
